# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,PBJPAYBZQU,0,0,0,9.997620270799091324e-01, 0.000000000000000000e+00, -2.181488503456112046e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.181488503456112046e-02, 0.000000000000000000e+00, 9.997620270799091324e-01, 0.000000000000000000e+00, -3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,35,17
# x,y,z,u,w
-2.600553164723982125e+00, 4.000819697623425042e-01, 3.007779072152718114e-01, 2.250000000000000000e+00, 3.500000000000000000e+00
-2.604611123566240138e+00, 4.898676076933152213e-01, 1.149391900575211511e-01, 2.250000000000000000e+00, 3.750000000000000000e+00
-2.609121254779346089e+00, 5.130859374999999778e-01, -9.239999325156680876e-02, 2.250000000000000000e+00, 4.000000000000000000e+00
-2.371154671661506619e+00, 5.343750000000000444e-01, -1.063443299663765496e-01, 2.500000000000000000e+00, 0.000000000000000000e+00
-2.375939920651935822e+00, 5.131528432497085568e-01, -3.233040702285329138e-01, 2.500000000000000000e+00, 2.500000000000000000e-01
-2.380425080014237693e+00, 4.203270729199034550e-01, -5.191432670991855680e-01, 2.500000000000000000e+00, 5.000000000000000000e-01
-2.382394554756425364e+00, 2.201521214944154037e-01, -5.950787433624928902e-01, 2.500000000000000000e+00, 7.500000000000000000e-01
-2.382669556475321748e+00, -2.282223968144811563e-16, -5.999385339565849184e-01, 2.500000000000000000e+00, 1.000000000000000000e+00
-2.382394554756426253e+00, -2.201521214944156257e-01, -5.950787433624933342e-01, 2.500000000000000000e+00, 1.250000000000000000e+00
-2.380425080014237693e+00, -4.203270729199037326e-01, -5.191432670991855680e-01, 2.500000000000000000e+00, 1.500000000000000000e+00
-2.375939920651935822e+00, -5.131528432497083347e-01, -3.233040702285327472e-01, 2.500000000000000000e+00, 1.750000000000000000e+00
-2.371154671661506175e+00, -5.343750000000000444e-01, -1.063443299663765496e-01, 2.500000000000000000e+00, 2.000000000000000000e+00
-2.366451222139496213e+00, -5.106799033877293947e-01, 1.095926261170768051e-01, 2.500000000000000000e+00, 2.250000000000000000e+00
-2.362230975994944693e+00, -4.167895682860222051e-01, 3.029238257995884864e-01, 2.500000000000000000e+00, 2.500000000000000000e+00
-2.360624743159776884e+00, -2.176145126128741225e-01, 3.762777866686463080e-01, 2.500000000000000000e+00, 2.750000000000000000e+00
-2.360542024887935852e+00, 4.331197314035517199e-23, 3.800263859103359954e-01, 2.500000000000000000e+00, 3.000000000000000000e+00
-2.360624743159777328e+00, 2.176145126128744001e-01, 3.762777866686462525e-01, 2.500000000000000000e+00, 3.250000000000000000e+00
-2.362230975994944693e+00, 4.167895682860227602e-01, 3.029238257995878758e-01, 2.500000000000000000e+00, 3.500000000000000000e+00
-2.366451222139496213e+00, 5.106799033877290617e-01, 1.095926261170769578e-01, 2.500000000000000000e+00, 3.750000000000000000e+00
-2.371154671661506175e+00, 5.343750000000000444e-01, -1.063443299663765496e-01, 2.500000000000000000e+00, 4.000000000000000000e+00
-2.178270916622220277e+00, 5.474609375000001332e-01, -1.159326689851281345e-01, 2.750000000000000000e+00, 0.000000000000000000e+00
-2.183114274760245888e+00, 5.242134945858383244e-01, -3.374609206732134270e-01, 2.750000000000000000e+00, 2.500000000000000000e-01
-2.187484875216841651e+00, 4.279111365513530441e-01, -5.359415638510609536e-01, 2.750000000000000000e+00, 5.000000000000000000e-01
-2.189184081184083475e+00, 2.233724332004560775e-01, -6.111292695930072849e-01, 2.750000000000000000e+00, 7.500000000000000000e-01
-2.189299624463694194e+00, -3.160106468690623557e-16, -6.149726631760863427e-01, 2.750000000000000000e+00, 1.000000000000000000e+00
-2.189184081184083919e+00, -2.233724332004562996e-01, -6.111292695930077290e-01, 2.750000000000000000e+00, 1.250000000000000000e+00
-2.187484875216841651e+00, -4.279111365513532106e-01, -5.359415638510609536e-01, 2.750000000000000000e+00, 1.500000000000000000e+00
-2.183114274760245888e+00, -5.242134945858381023e-01, -3.374609206732134270e-01, 2.750000000000000000e+00, 1.750000000000000000e+00
-2.178270916622220277e+00, -5.474609375000001332e-01, -1.159326689851281345e-01, 2.750000000000000000e+00, 2.000000000000000000e+00
-2.173442895884522663e+00, -5.237498183617171899e-01, 1.054038106694502319e-01, 2.750000000000000000e+00, 2.250000000000000000e+00
-2.169121966656255562e+00, -4.272478544324999072e-01, 3.034142043745219897e-01, 2.750000000000000000e+00, 2.500000000000000000e+00
-2.167490868546579463e+00, -2.228966315351667837e-01, 3.781178759800460365e-01, 2.750000000000000000e+00, 2.750000000000000000e+00
-2.167411378413292677e+00, 8.120994963816595116e-24, 3.817529211845495096e-01, 2.750000000000000000e+00, 3.000000000000000000e+00
-2.167490868546579463e+00, 2.228966315351672278e-01, 3.781178759800460365e-01, 2.750000000000000000e+00, 3.250000000000000000e+00
-2.169121966656255562e+00, 4.272478544325006289e-01, 3.034142043745211570e-01, 2.750000000000000000e+00, 3.500000000000000000e+00
-2.173442895884522663e+00, 5.237498183617168568e-01, 1.054038106694504956e-01, 2.750000000000000000e+00, 3.750000000000000000e+00
-2.178270916622220277e+00, 5.474609375000001332e-01, -1.159326689851281345e-01, 2.750000000000000000e+00, 4.000000000000000000e+00
-2.040000773605931350e+00, 5.500000000000000444e-01, -1.199935373229372715e-01, 3.000000000000000000e+00, 0.000000000000000000e+00
-2.044853404516866036e+00, 5.263069814396474921e-01, -3.423864634603206447e-01, 3.000000000000000000e+00, 2.500000000000000000e-01
-2.049193940353560617e+00, 4.292915036945506024e-01, -5.413104046056250729e-01, 3.000000000000000000e+00, 5.000000000000000000e-01
-2.050829534138301824e+00, 2.239244488945459910e-01, -6.162686065453315543e-01, 3.000000000000000000e+00, 7.500000000000000000e-01
-2.050908216123212391e+00, -3.330669073875469621e-16, -6.198745508628917822e-01, 3.000000000000000000e+00, 1.000000000000000000e+00
-2.050829534138301824e+00, -2.239244488945462130e-01, -6.162686065453319983e-01, 3.000000000000000000e+00, 1.250000000000000000e+00
-2.049193940353560617e+00, -4.292915036945507690e-01, -5.413104046056248508e-01, 3.000000000000000000e+00, 1.500000000000000000e+00
-2.044853404516866036e+00, -5.263069814396472701e-01, -3.423864634603206447e-01, 3.000000000000000000e+00, 1.750000000000000000e+00
-2.040000773605931350e+00, -5.500000000000000444e-01, -1.199935373229372715e-01, 3.000000000000000000e+00, 2.000000000000000000e+00
